won,queue
1,emea
2,emea
3,emea
5,abu
6,emea
7,emea
8,emea
9,emea
10,emea
50,apj
51,apj
54,emea
55,emea
57,abu
82,abu
83,abu
84,abu
85,abu
86,abu
87,abu
88,abu
89,abu
90,abu
91,abu
92,abu
93,abu
94,abu
96,abu
97,abu
98,abu
99,abu
100,abu
101,abu
102,abu
103,abu
104,emea
105,apj
106,abu
107,abu
108,emea
109,abu
110,emea
111,emea
112,emea
113,abu
114,abu
115,abu
116,abu
117,abu
118,abu
119,abu
120,abu
121,abu
122,abu
123,abu
124,emea
126,emea
127,abu
128,emea
129,emea
130,emea
131,emea
132,emea
133,emea
134,emea
135,emea
136,abu
137,abu
138,abu
139,abu
140,abu
141,abu
142,abu
143,abu
144,abu
145,abu
146,abu
147,abu
148,abu
149,abu
150,abu
151,abu
152,abu
153,abu
154,abu
155,abu
157,abu
158,abu
159,abu
161,abu
162,abu
163,abu
164,abu
165,abu
166,abu
167,abu
168,abu
169,abu
170,abu
171,abu
172,abu
173,abu
174,abu
175,abu
176,abu
177,abu
178,abu
179,abu
180,abu
181,abu
182,abu
183,abu
184,abu
185,abu
186,abu
187,abu
188,abu
189,abu
190,abu
191,abu
192,abu
193,abu
194,abu
195,abu
196,abu
197,abu
198,abu
199,abu
200,abu
202,abu
203,abu
204,abu
205,abu
206,abu
207,abu
208,abu
209,abu
210,abu
212,abu
213,abu
214,abu
215,abu
216,abu
217,abu
218,abu
219,abu
220,abu
221,abu
222,abu
224,abu
226,abu
227,abu
228,abu
229,abu
230,emea
231,emea
232,abu
233,emea
234,abu
235,abu
236,abu
238,abu
239,abu
241,abu
242,abu
243,abu
244,abu
245,abu
247,abu
248,abu
249,abu
250,abu
251,abu
252,abu
253,emea
254,emea
256,emea
257,abu
258,abu
259,abu
260,abu
261,abu
262,abu
263,abu
264,abu
265,abu
266,abu
267,abu
268,abu
269,abu
270,abu
271,abu
272,abu
273,abu
274,abu
275,abu
276,abu
277,abu
278,abu
279,apj
280,emea
281,emea
282,apj
283,abu
284,emea
285,emea
286,abu
287,abu
288,abu
289,abu
291,abu
292,abu
293,abu
294,abu
295,abu
296,abu
297,abu
298,abu
299,abu
300,abu
301,abu
302,abu
303,abu
304,abu
305,abu
306,abu
307,abu
308,abu
309,abu
310,abu
311,abu
312,abu
313,abu
314,abu
315,abu
316,abu
317,abu
318,abu
319,abu
320,abu
321,abu
322,abu
323,abu
324,abu
325,abu
326,abu
327,abu
328,abu
329,abu
330,abu
331,abu
332,abu
333,abu
334,abu
335,abu
336,abu
337,abu
338,abu
339,abu
340,abu
341,abu
342,abu
343,abu
344,abu
345,abu
346,abu
347,emea
348,abu
349,emea
351,abu
352,abu
353,abu
354,abu
355,abu
356,abu
357,abu
358,abu
359,abu
360,abu
362,abu
363,abu
364,abu
365,abu
366,abu
367,abu
368,abu
369,abu
370,abu
371,abu
372,abu
375,abu
376,abu
377,abu
378,abu
379,abu
380,abu
381,abu
382,abu
383,abu
384,abu
385,abu
386,abu
387,abu
388,abu
389,abu
390,abu
391,apj
392,apj
393,abu
394,abu
395,abu
396,abu
397,abu
398,abu
399,abu
400,abu
401,abu
402,abu
403,abu
404,abu
405,abu
406,abu
407,abu
408,abu
409,abu
411,abu
412,abu
413,apj
414,apj
416,emea
417,apj
420,emea
421,emea
422,apj
423,apj
424,apj
425,emea
426,emea
427,emea
428,emea
429,emea
430,emea
431,emea
432,abu
433,abu
434,abu
435,abu
436,abu
437,abu
438,abu
439,abu
440,abu
441,abu
442,abu
443,abu
446,abu
448,apj
449,emea
450,apj
451,apj
452,apj
453,emea
454,emea
455,apj
456,apj
457,apj
458,apj
459,apj
460,apj
461,apj
462,emea
463,apj
464,emea
465,emea
466,emea
467,emea
468,abu
469,abu
470,apj
471,abu
472,abu
473,abu
474,abu
475,abu
476,abu
477,abu
478,abu
479,abu
480,abu
481,abu
482,abu
483,abu
484,abu
485,abu
486,abu
487,abu
488,abu
489,abu
490,abu
492,emea
493,apj
494,apj
495,apj
496,apj
497,apj
498,apj
499,emea
500,emea
501,emea
502,emea
503,emea
504,apj
505,apj
506,apj
508,emea
509,emea
510,abu
511,emea
512,emea
513,emea
514,emea
515,abu
516,emea
517,abu
518,abu
519,abu
520,abu
521,abu
522,abu
523,abu
524,abu
525,abu
526,abu
527,abu
528,abu
529,abu
530,abu
531,abu
532,abu
533,abu
534,abu
535,abu
536,abu
537,abu
538,abu
539,abu
540,apj
541,abu
542,abu
543,abu
544,emea
545,apj
546,apj
547,emea
548,emea
549,emea
550,emea
551,emea
552,emea
553,emea
554,emea
555,emea
556,emea
557,apj
558,apj
559,emea
560,apj
561,abu
562,abu
564,abu
565,abu
566,abu
567,abu
568,abu
569,abu
570,abu
571,abu
572,abu
573,abu
574,emea
575,apj
576,apj
577,abu
578,apj
579,emea
580,apj
581,emea
582,apj
583,apj
584,apj
585,abu
586,abu
587,abu
588,abu
